average,median,maximum,minimum,peak,nonelevatedpeak,standarddeviation,standarddeviationpop,percentile15,percentile25,percentile50,percentile75,amplitude,variance,class
149576.0,1863.0749074664268,21085320.0,213.06053134316707,0.0004613039525057496,0.3668636837150759,1492220.634552411,1495838.1444295784,999.4647064592704,1141.234256400986,1863.0749074664268,6812.114143153088,21085106.939468656,2237531754330.5244,lncRNA
1013033.9999999993,5014.182131740575,311255172.0,1199.3478097494226,0.0001694579517238975,0.499712597927574,14148008.719813049,14161764.686815366,2504.2032510128174,2941.77538440471,5014.182131740575,17574.085148721642,311253972.65219027,200555579044730.72,lncRNA
54495084.00000009,49148.68472413416,77287203032.0,14792.107096312253,1.2961413791624438e-05,0.466546962215103,1716954653.2451284,1717359929.9304013,26427.39508504426,30099.92189369959,49148.68472413416,166907.84747168433,77287188239.8929,2.949325128930553e+18,lncRNA
9886250.999999994,12393.615273826672,7194825595.0,3066.8622004274657,3.486323244945601e-05,0.4895422467253613,227627954.37650535,227738105.82470238,6106.372563879717,7357.243011893476,12393.615273826672,44691.84710001806,7194822528.137799,5.1864644844623336e+16,lncRNA
960214.0000000009,3428.2507614108276,233249572.0,377.0767015978996,0.00022633843427958053,0.6344853279543488,11728879.938096901,11737884.837648394,1487.0719446512617,1808.5370631465466,3428.2507614108276,11506.370925589596,233249194.9232984,137777940461896.06,lncRNA
26324.00000000002,581.6832027939678,1457176.0,82.17199441471186,0.002735146634250112,0.7612937695976351,170823.68233942272,171220.485852789,221.0279951691473,314.87881807485326,581.6832027939678,1811.0433442849567,1457093.8280055854,29316454775.665115,lncRNA
860028.9999999981,4868.25230499266,231741099.0,1302.3044463238275,0.00017557547478050197,0.4563872470085956,11326695.057199428,11339217.66473562,2504.663943020318,2992.2521624994797,4868.25230499266,18054.367508624506,231739796.6955537,128577857248252.33,lncRNA
892388.9999999993,4908.4000641424445,242922123.0,1003.3390961504712,0.00018116165334474852,0.4296939751338389,11607692.792001085,11619678.022650715,2528.5113193976813,2990.8811064239712,4908.4000641424445,16823.31083653826,242921119.66090384,135016917350072.03,lncRNA
2083820.0000000012,8667.36356923178,682346328.0,2009.8438105220914,9.069881275733983e-05,0.3755216006935747,30125239.815937795,30151840.474379703,4569.213897524528,5458.643763971444,8667.36356923178,32749.856220352332,682344318.1561894,909133483992442.1,lncRNA
716028.0000000007,3958.270247696666,147434216.0,1233.7469156423126,0.00012290022177903647,0.3052137256860808,9117173.7084103,9134490.293259522,1950.5950616008545,2245.3610988436653,3958.270247696666,14022.591830354399,147432982.25308436,83438912917652.44,lncRNA
1605057.9999999984,12661.183595262533,287040588.0,4098.406940490776,6.043395316555545e-05,0.17026007386439607,17529685.411773995,17559882.99731332,5907.059167397005,6412.378116575707,12661.183595262533,39526.63891548158,287036489.5930595,308349490879333.5,lncRNA
