average,median,maximum,minimum,peak,nonelevatedpeak,standarddeviation,standarddeviationpop,percentile15,percentile25,percentile50,percentile75,amplitude,variance,class
206.99999999999955,134.20399196312266,11551.0,18.484688712227946,0.3333333333333341,3.0319963434206594,796.0829102549559,798.0128110512649,67.41208030217621,85.4415352445178,134.20399196312266,187.88177341991747,11532.515311287772,636824.4466019417,lncRNA
515.0000000000034,353.3675991389465,68535.0,23.35205617427544,0.3333333333333311,4.793964824494807,3007.5644631495434,3010.488687917266,150.5337957479955,219.0638758589166,353.3675991389465,507.3840140477473,68511.64794382572,9063042.140077822,lncRNA
2118.9999999999654,1415.0158881933908,1145803.0,55.47747475795039,0.3333333333333388,9.90195189980625,24868.278589399786,24874.14859504968,704.0464671182383,886.0305050667669,1415.0158881933908,2071.287357503127,1145747.522525242,618723268.3286119,lncRNA
1034.0000000000052,664.7013221593465,272798.0,75.96840639959194,0.33333333333333165,6.925964506275828,8468.774999963103,8472.873125051716,327.7327916828011,419.3534222915058,664.7013221593465,1017.7179371401802,272722.0315936004,71789578.99322362,lncRNA
651.9999999999894,424.37881663820997,107422.0,22.598658876040275,0.33333333333333875,5.411786819088191,4194.891655335094,4198.11230199403,223.84181584977898,290.3678846563319,424.37881663820997,634.4378040938941,107399.40134112396,17624146.90015361,lncRNA
216.00000000000003,141.97752157871543,11784.0,10.804410171633435,0.3333333333333333,3.0818200106420686,795.5488671351371,797.3968344732169,62.0905137858142,82.23097755158247,141.97752157871543,222.7216672148189,11773.195589828367,635841.711627907,lncRNA
452.9999999999859,304.4253288140695,53499.0,25.568285703669936,0.3333333333333437,4.509706289922785,2502.281758715433,2505.0482402222733,140.93633826209228,187.65645293511227,304.4253288140695,450.5864253689326,53473.431714296334,6275266.685840708,lncRNA
484.9999999999875,306.67050405623814,60901.0,21.108698826200445,0.3333333333333419,4.744394157654905,2755.4484208563945,2758.2934896791917,135.82873539512758,185.82071657992006,306.67050405623814,510.235214053065,60879.8913011738,7608182.975206613,lncRNA
567.0000000000002,387.4155717436694,84371.0,44.50072861925403,0.3333333333333332,5.128647994876381,3531.1578837542797,3534.2759045681914,188.14344405923347,235.19201439003308,387.4155717436694,552.8544006575423,84326.49927138074,12491106.169611307,lncRNA
264.0,172.78805569239583,19230.0,26.0,0.3333333333333333,3.4735843624447607,1175.4786259222242,1177.7112559033171,71.35722225985049,101.8724848525713,172.78805569239583,254.98502838188983,19204.0,1387003.8022813688,lncRNA
290.9999999999944,149.33180613009839,26753.0,7.417683020539576,0.33333333333333975,3.933479922078709,1573.3245056249525,1576.0347996332991,64.87787094503804,94.56500203889006,149.33180613009839,265.72859797359064,26745.58231697946,2483885.689655173,lncRNA
