average,median,maximum,minimum,peak,nonelevatedpeak,standarddeviation,standarddeviationpop,percentile15,percentile25,percentile50,percentile75,amplitude,variance,class
309.7499999999989,234.5700642696196,1719.3553813799554,1.8838763841622284,0.2227602905569015,4.389449916227337,319.09696802069334,319.87053756319955,65.11265566444409,106.02169402350174,234.5700642696196,378.73700574690884,1717.471504995793,102317.16080097025,lncRNA
730.7500000000076,508.55166141120304,4739.314446170543,2.4695069013526596,0.23491846276656156,7.2559819746664465,735.4434886515835,736.1585529805864,83.60013579900715,175.39590322131403,508.55166141120304,1039.496112455084,4736.844939269191,541929.4151264708,lncRNA
2881.7499999999386,1981.7224546340951,20713.568707095816,3.0564271214816308,0.2451056938781464,14.87879450077066,2901.368879511825,2902.0537299591097,469.9795462912965,829.2571513018001,1981.7224546340951,4030.2155120295256,20710.512279974333,8421915.851569582,lncRNA
1416.5000000000086,969.038436977977,9635.192853894732,4.516396695491374,0.24332274385221644,10.481355915593301,1542.2627045999773,1543.009020977846,197.18340725369862,374.93559928805973,969.038436977977,1857.6750167426917,9630.67645719924,2380876.8388190106,lncRNA
854.9999999999812,543.3908469290548,6683.565144336272,0.8654984655484323,0.25419103313840713,8.444003761212647,910.5196318586275,911.2186873411478,130.50175646866856,248.419807391186,543.3908469290548,1189.910106655009,6682.6996458707235,830319.4961597244,lncRNA
290.00000000000017,201.7793589099565,1491.5934141965856,3.5369952588472815,0.24827586206896538,4.797857504579349,285.8531091312459,286.51711260229024,39.27976141435525,67.90089109785266,201.7793589099565,427.1489630600621,1488.0564189377383,82092.05581395346,lncRNA
655.2499999999736,446.5613917322297,2927.7862936170927,2.5129182850060885,0.23044639450592305,6.635142870252411,608.8762189476356,609.5493824688125,105.59803058264704,173.2698601272096,446.5613917322297,980.6269847060963,2925.2733753320867,371550.4496681107,lncRNA
679.2499999999778,447.07851136983925,3926.841663698063,2.1936261614885915,0.2380076064286668,7.055134880733534,693.382470213929,694.0984048085843,101.99505577608574,184.02349931115506,447.07851136983925,1015.0698286121368,3924.648037536574,481772.5955578214,lncRNA
805.7499999999998,619.2917174695085,6270.804652574581,1.0410962980148535,0.2345640707415452,7.4852209889921575,840.8979575430068,841.6404724404736,137.18076471880258,222.66411808508246,619.2917174695085,1030.3171631914097,6269.763556276566,708358.6848498236,lncRNA
412.00000000000017,311.03839931918367,1580.106716356019,2.1455008028724127,0.21359223300970864,4.788812533169644,360.13192027366847,360.81593213455693,90.10268398725354,142.98437011981764,311.03839931918367,597.0058885595122,1577.9612155531465,130188.1368821292,lncRNA
304.74999999999187,186.99052987148812,6006.25,0.5138279286932542,0.31829368334701424,6.465463849003781,443.6587934437861,444.4230641109765,41.093779980404406,66.29538502041704,186.99052987148812,402.1609810669421,6005.736172071307,197511.85991378914,lncRNA
